time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-05T00:43:49.800Z,51.0164,178.94,25.91,4.1,mb,,306,0.426,0.39,us,us1000g3pc,2018-08-05T05:19:50.935Z,"108km SSE of Little Sitkin Island, Alaska",earthquake,18.7,13,0.082,41,reviewed,us,us
2018-08-05T00:32:58.250Z,19.3965,-155.2711667,0.11,2.56,ml,24,47,0.002595,0.08,hv,hv70523007,2018-08-05T07:29:30.510Z,"5km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.177,20,reviewed,hv,hv
2018-08-05T00:17:30.570Z,19.2195,-68.4083,24,2.77,md,6,303,0.7061,0.32,pr,pr2018217000,2018-08-05T05:08:45.274Z,"68km NNE of Otra Banda, Dominican Republic",earthquake,2.31,24.72,0.37,4,reviewed,pr,pr
2018-08-05T00:15:53.440Z,51.1028,179.1387,28.49,4.1,mb,,228,0.292,1.24,us,us1000g3nv,2018-08-05T05:06:13.881Z,"99km SSW of Semisopochnoi Island, Alaska",earthquake,14.4,7.7,0.088,35,reviewed,us,us
2018-08-05T00:13:06.300Z,19.3455009,-155.2631683,0.56,3.14,ml,48,71,0.02593,0.26,hv,hv70522947,2018-08-05T00:36:09.214Z,"9km SSW of Volcano, Hawaii",earthquake,0.27,0.36,2.72,34,automatic,hv,hv
2018-08-04T23:13:15.340Z,19.3983326,-155.2940063,1.77,2.65,ml,18,69,0.008286,0.23,hv,hv70522767,2018-08-04T23:18:56.050Z,"6km WSW of Volcano, Hawaii",earthquake,0.43,0.39,0.4,21,automatic,hv,hv
2018-08-04T23:06:48.931Z,59.6226,-152.2814,72.2,2.5,ml,,,,0.63,ak,ak20006511,2018-08-04T23:11:51.137Z,"30km SW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-04T22:55:45.170Z,-4.199,142.7603,109.66,4.6,mb,,65,5.073,0.67,us,us1000g3n0,2018-08-04T23:18:25.040Z,"10km WNW of Ambunti, Papua New Guinea",earthquake,9.3,7.3,0.093,35,reviewed,us,us
2018-08-04T22:51:21.306Z,57.9798,-155.4812,5.1,2.9,ml,,,,0.58,ak,ak20006507,2018-08-05T05:30:46.040Z,"101km WNW of Larsen Bay, Alaska",earthquake,,0.1,,,automatic,ak,ak
2018-08-04T20:56:10.010Z,19.3851662,-155.2648315,0.09,3.53,ml,49,35,0.01277,0.27,hv,hv70522347,2018-08-05T00:40:24.040Z,"5km SSW of Volcano, Hawaii",earthquake,0.23,0.22,3.29,37,automatic,hv,hv
